Fayrōz Kōh,Fayroz Koh,34.5225,65.2517,Afghanistan,AF,AFG,Ghōr,admin,15000,1004988038
Gūdārah,Gudarah,34.8169,69.0878,Afghanistan,AF,AFG,Kābul,,38000,1004814762
Kōṯah-ye ‘As̲h̲rō,Kotah-ye `Ashro,34.4492,68.7939,Afghanistan,AF,AFG,Wardak,,35008,1004450357
Ḩukūmatī Baghrān,Hukumati Baghran,33.0669,65.0917,Afghanistan,AF,AFG,Helmand,,26724,1004391533
Qal‘ah-ye Zāl,Qal`ah-ye Zal,37.0150,68.4672,Afghanistan,AF,AFG,Kunduz,,18000,1004481163
Taywarah,Taywarah,33.5100,64.4200,Afghanistan,AF,AFG,Ghōr,minor,15000,1004304837
Deh-e Shū,Deh-e Shu,30.4344,63.3183,Afghanistan,AF,AFG,Helmand,,9482,1004870289
Chīchkah,Chichkah,37.0706,69.2983,Afghanistan,AF,AFG,Kunduz,,8792,1004736488
Tadjmout,Tadjmout,33.8667,2.5167,Algeria,DZ,DZA,Laghouat,,24320,1012533662
Tala Yfassene,Tala Yfassene,36.4583,5.0889,Algeria,DZ,DZA,Sétif,,20337,1012098651
Arbaoun,Arbaoun,36.4667,5.6500,Algeria,DZ,DZA,Sétif,,19383,1012971347
Timoktene,Timoktene,27.0217,1.0150,Algeria,DZ,DZA,Adrar,,18598,1012254407
Aït Yaïch,Ait Yaich,36.5811,4.3303,Algeria,DZ,DZA,Tizi Ouzou,,14439,1012677951
Takerbouzt,Takerbouzt,36.4180,4.3428,Algeria,DZ,DZA,Bouira,,14000,1012858445
Ucu Seles,Ucu Seles,-11.4047,14.3006,Angola,AO,AGO,Cuanza-Sul,,187127,1024868244
Quilevo,Quilevo,-7.6167,15.0500,Angola,AO,AGO,Uíge,,34297,1024896848
Tchindjendje,Tchindjendje,-12.8167,14.9333,Angola,AO,AGO,Huambo,,30443,1024902504
Samba Cango,Samba Cango,-9.1000,15.5500,Angola,AO,AGO,Malanje,,21918,1024281729
Quibaxi,Quibaxi,-8.5000,14.5833,Angola,AO,AGO,Bengo,,18176,1024593185
Ambiula,Ambiula,-7.4333,14.6500,Angola,AO,AGO,Uíge,,18118,1024070190
Şatrovka,Satrovka,39.9319,48.9203,Azerbaijan,AZ,AZE,Salyan,,58253,1031501191
Aşağı Göycəli,Asagi Goycali,41.1158,45.4853,Azerbaijan,AZ,AZE,Ağstafa,,28000,1031509183
Baş Göynük,Bas Goynuk,41.3228,47.1133,Azerbaijan,AZ,AZE,Şəki,,13260,1031767565
Aşağı Ayıblı,Asagi Ayibli,40.9368,45.8258,Azerbaijan,AZ,AZE,Tovuz,,10797,1031116600
Bānchpār,Banchpar,23.2000,90.8000,Bangladesh,BD,BGD,Chattogram,,241799,1050224894
Nakhyaungcharīpāra,Nakhyaungcharipara,21.4167,92.1833,Bangladesh,BD,BGD,Chattogram,,38350,1050252175
Chandanais,Chandanais,22.2000,92.0083,Bangladesh,BD,BGD,Chattogram,,35248,1050506316
Majidpur,Majidpur,23.5796,90.7689,Bangladesh,BD,BGD,Chattogram,,30257,1050816935
Mathba,Mathba,22.3000,89.9500,Bangladesh,BD,BGD,Barishal,,28851,1050564750
Duptiair,Duptiair,23.9910,89.7982,Bangladesh,BD,BGD,Dhaka,,26336,1050168412
Lakshmīcharīpāra,Lakshmicharipara,22.7900,91.9000,Bangladesh,BD,BGD,Chattogram,,25994,1050022288
Horad Smalyavichy,Horad Smalyavichy,54.1000,28.0667,Belarus,BY,BLR,Minskaya Voblasts’,minor,16594,1112264806
Skidal’,Skidal',53.5861,24.2519,Belarus,BY,BLR,Hrodzyenskaya Voblasts’,,10168,1112017248
Pyetrykaw,Pyetrykaw,52.1333,28.5000,Belarus,BY,BLR,Homyel’skaya Voblasts’,minor,10127,1112852097
So-Awa,So-Awa,6.4667,2.4167,Benin,BJ,BEN,Atlantique,,76315,1204255912
Péda-Houéyogbé,Peda-Houeyogbe,6.4500,1.9333,Benin,BJ,BEN,Mono,,74492,1204188588
Goumori,Goumori,11.1833,2.2833,Benin,BJ,BEN,Alibori,,23286,1204178150
Atchoupa,Atchoupa,6.5333,2.6333,Benin,BJ,BEN,Ouémé,,19565,1204356835
Issaba,Issaba,7.0833,2.6167,Benin,BJ,BEN,Plateau,,19732,1204318038
Kolokondé,Kolokonde,9.9000,1.7667,Benin,BJ,BEN,Donga,,17419,1204155469
Aklanpa,Aklanpa,8.1684,2.2320,Benin,BJ,BEN,Collines,,16895,1204854535
Tiahounkossi,Tiahounkossi,10.8167,1.0667,Benin,BJ,BEN,Atacora,,16625,1204600986
Sérarou,Serarou,9.5833,2.6500,Benin,BJ,BEN,Borgou,,16060,1204060961
Méridjonou,Meridjonou,6.4619,2.6774,Benin,BJ,BEN,Ouémé,,13959,1204586133
Sinmpérékou,Sinmperekou,11.2333,2.4167,Benin,BJ,BEN,Alibori,,14748,1204770736
